to accept ,принимать/принять,Common verbs
to argue ,спорить/поспорить,Common verbs
to ask ,спрашивать/спросить,Common verbs
to ask (for something) ,просить/попросить (что-нибудь),Common verbs
to ask a question ,задавать/задать вопрос,Common verbs
to bathe ,купаться/ис,Common verbs
to be born ,рождаться/родиться,Common verbs
"to begin, start ",начинать(ся)/начать(ся),Common verbs
to be ill; to hurt ,болеть/за,Common verbs
to be interested in ,интересоваться/за,Common verbs
to be missing ,отсутствовать,Common verbs
to be situated ,находиться,Common verbs
to become ,становиться/стать,Common verbs
to believe ,верить/по,Common verbs
to buy ,покупать/купить,Common verbs
to carry ,носить/нести//понести,Common verbs
to chat ,разговаривать,Common verbs
to check ,проверять/проверить,Common verbs
to change ,меняться impfv only,Common verbs
to choose ,выбирать/выбрать,Common verbs
to clean ,чистить/по,Common verbs
to clear away ,убирать/убрать,Common verbs
to click (ICT) ,нажимать/нажать,Common verbs
to close ,закрывать/закрыть,Common verbs
to collect ,собирать/собрать,Common verbs
to come ,приходить/прийти,Common verbs
to consider ,считать,Common verbs
to contact ,связываться/связаться,Common verbs
to continue ,продолжаться,Common verbs
to continue/carry on ,продолжать/продолжить,Common verbs
to convince ,убеждать/убедить,Common verbs
to cook ,готовить/при,Common verbs
to cope/manage/get by ,справляться/справиться,Common verbs
to copy ,копировать/с,Common verbs
to cost ,стоить,Common verbs
"to cross, go across ",переходить/перейти,Common verbs
to cry ,плакать/за,Common verbs
to decide ,решать/решить,Common verbs
to depart/leave ,уезжать/уехать,Common verbs
to depart/leave ,уходить/уйти,Common verbs
to describe ,описывать/описать,Common verbs
to die ,умирать/умереть,Common verbs
to discuss ,обсуждать/обсудить,Common verbs
to do ,делать/c,Common verbs
to draw ,рисовать/на,Common verbs
to drink ,пить/вы,Common verbs
to drive ,водить/вести//повести машину,Common verbs
to earn ,зарабатывать/заработать,Common verbs
to eat ,есть/съ,Common verbs
to eat ,кушать/по,Common verbs
"to end, finish ",кончать(ся)/кончить(ся);заканчивать(ся)/зако нчить(ся),Common verbs
to enjoy ,увлекаться,Common verbs
to enjoy oneself ,хорошо проводить/провести время,Common verbs
to enter/go in ,входить/войти,Common verbs
to exist ,существовать,Common verbs
to explain ,объяснять/объяснить,Common verbs
to fail (exam) ,проваливать/провалить экзамен,Common verbs
to fall ,падать/упасть,Common verbs
to fall asleep ,засыпать/заснуть,Common verbs
"to feed, nourish ",кормить/по,Common verbs
to fill/fill in ,заполнять/заполнить,Common verbs
to find ,находить/найти,Common verbs
to find out ,узнавать/узнать,Common verbs
to finish ,заканчивать(ся)/закончить(ся),Common verbs
to fly ,летать/лететь//полететь,Common verbs
to follow ,следовать/по,Common verbs
to forget ,забывать/забыть,Common verbs
to forgive ,прощать/простить,Common verbs
to get angry ,сердиться/рассердиться,Common verbs
to get dressed ,одеваться/одеться,Common verbs
"to get into (bus, car, train) ","садиться/сесть в (автобус, машину, поезд)",Common verbs
"to get out of (bus, car, train) ","выходить/выйти из (автобуса, машины, поезда)",Common verbs
to get undressed ,раздеваться/раздеться,Common verbs
to get up ,вставать/встать,Common verbs
to give ,давать/дать,Common verbs
to give (a gift/present) ,дарить/по,Common verbs
to give back ,отдавать/отдать,Common verbs
to go ,ходить/идти//пойти,Common verbs
to go (and come back); make a round trip ,сходить pfv,Common verbs
to go (in a car) ,ездить/ехать//поехать (в машине),Common verbs
to go down ,спускаться/спуститься,Common verbs
to go for a walk ,гулять/по,Common verbs
to go out ,выходить/выйти,Common verbs
to go to bed ,ложиться/лечь спать,Common verbs
to go up ,подниматься/подняться,Common verbs
to grow ,расти/вы,Common verbs
to happen ,случаться/случиться,Common verbs
to harm/damage ,вредить/по,Common verbs
to hate ,ненавидеть/воз,Common verbs
to have breakfast ,завтракать/по,Common verbs
to have lunch ,обедать/по,Common verbs
to have dinner/supper ,ужинать/по,Common verbs
to hear ,слышать/у,Common verbs
to help ,помогать/помочь,Common verbs
to hire ,брать/взять напрокат,Common verbs
to hit ,ударять/ударить,Common verbs
to hold ,держать/по,Common verbs
to hope ,надеяться,Common verbs
to hurry ,спешить/по,Common verbs
to improve ,улучшать/улучшить,Common verbs
to inform ,сообщать/сообщить,Common verbs
to intend ,намереваться,Common verbs
to intend ,собираться,Common verbs
to interest ,интересовать/за,Common verbs
to introduce (a person) ,представлять/представить,Common verbs
to invite ,приглашать/пригласить,Common verbs
to iron ,гладить/по,Common verbs
to jump ,прыгать/прыгнуть,Common verbs
to justify ,оправдывать/оправдать,Common verbs
to knock ,cтучать/стукнуть,Common verbs
to knock over ,сбивать/сбить (с ног),Common verbs
to know ,знать,Common verbs
to know how to ,уметь,Common verbs
to land ,приземляться/приземлиться,Common verbs
to last ,длиться,Common verbs
to laugh ,смеяться/за,Common verbs
to lead ,водить/вести//повести,Common verbs
to learn ,учиться,Common verbs
to leave (behind) ,оставлять/оставить,Common verbs
to leave; to depart ,уезжать/уехать,Common verbs
to leave; to depart ,уходить/уйти,Common verbs
to lie ,лежать/по,Common verbs
to lie down ,ложиться/лечь,Common verbs
"to light, turn/switch on ",включать/включить,Common verbs
to like ,нравиться/по,Common verbs
to listen ,слушать/по,Common verbs
to live ,жить,Common verbs
"to look after/mind (child, dog) ",присматривать/присмотреть,Common verbs
to look for ,искать/по,Common verbs
to lose ,терять/по,Common verbs
to lose ,проигрывать/проиграть,Common verbs
to love ,любить/по,Common verbs
to manage (business) ,руководить,Common verbs
"to manage, to cope ",справляться/справиться,Common verbs
to mean to (do) ,собираться/собраться,Common verbs
to mean/to signify ,значить,Common verbs
to meet ,встречать(ся)/встретить(ся),Common verbs
"to miss (appointment, etc) ",пропускать/пропустить,Common verbs
"to miss (train, bus etc) ","опаздывать/опоздать (на поезд, автобус)",Common verbs
to notice ,замечать/заметить,Common verbs
to offer ,предлагать/предложить,Common verbs
to open ,открывать/открыть,Common verbs
to order ,заказывать/заказать,Common verbs
to organise ,организовать,Common verbs
to park ,парковаться/при,Common verbs
to park ,ставить/по- (машину),Common verbs
to pay ,платить/за,Common verbs
to phone ,звонить/по,Common verbs
to play ,играть/по,Common verbs
to pop in/go in ,заходить/зайти,Common verbs
to possess ,иметь,Common verbs
to prefer ,предпочитать/препочесть,Common verbs
to prepare ,готовить(ся)/подготовить(ся),Common verbs
to present ,представлять/представить,Common verbs
to prevent ,предотвращать/предотвратить,Common verbs
to produce ,производить/произвести,Common verbs
to put ,класть/положить,Common verbs
to put back ,класть/положить на место,Common verbs
to put on ,надевать/надеть,Common verbs
